user_id,product_id,event_time,event_type,price,category,rating
2078,5,2019-10-12 14:00:00,cart,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
540,4,2019-10-30 11:00:00,view,15.99,men's clothing,"{'rate': 2.1, 'count': 430}"
2406,1,2019-10-23 16:00:00,purchase,109.95,men's clothing,"{'rate': 3.9, 'count': 120}"
1763,7,2019-10-19 13:00:00,view,9.99,jewelery,"{'rate': 3, 'count': 400}"
3640,16,2019-10-05 20:00:00,view,29.95,women's clothing,"{'rate': 2.9, 'count': 340}"
1153,4,2019-10-05 20:00:00,cart,15.99,men's clothing,"{'rate': 2.1, 'count': 430}"
2392,18,2019-10-02 19:00:00,cart,9.85,women's clothing,"{'rate': 4.7, 'count': 130}"
3388,3,2019-10-27 20:00:00,view,55.99,men's clothing,"{'rate': 4.7, 'count': 500}"
432,17,2019-10-19 15:00:00,cart,39.99,women's clothing,"{'rate': 3.8, 'count': 679}"
28,18,2019-10-22 22:00:00,view,9.85,women's clothing,"{'rate': 4.7, 'count': 130}"
183,12,2019-10-01 15:00:00,view,114.0,electronics,"{'rate': 4.8, 'count': 400}"
2136,5,2019-10-31 01:00:00,cart,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
4895,13,2019-10-26 19:00:00,purchase,599.0,electronics,"{'rate': 2.9, 'count': 250}"
3988,9,2019-10-07 13:00:00,cart,64.0,electronics,"{'rate': 3.3, 'count': 203}"
1467,4,2019-10-06 15:00:00,view,15.99,men's clothing,"{'rate': 2.1, 'count': 430}"
3868,12,2019-10-06 16:00:00,cart,114.0,electronics,"{'rate': 4.8, 'count': 400}"
1870,14,2019-10-10 10:00:00,view,999.99,electronics,"{'rate': 2.2, 'count': 140}"
2474,10,2019-10-17 06:00:00,view,109.0,electronics,"{'rate': 2.9, 'count': 470}"
4800,16,2019-10-14 09:00:00,cart,29.95,women's clothing,"{'rate': 2.9, 'count': 340}"
3964,13,2019-10-10 00:00:00,view,599.0,electronics,"{'rate': 2.9, 'count': 250}"
666,11,2019-10-19 23:00:00,purchase,109.0,electronics,"{'rate': 4.8, 'count': 319}"
3968,5,2019-10-05 07:00:00,view,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
236,8,2019-10-10 01:00:00,view,10.99,jewelery,"{'rate': 1.9, 'count': 100}"
1444,10,2019-10-12 08:00:00,cart,109.0,electronics,"{'rate': 2.9, 'count': 470}"
3419,7,2019-10-15 03:00:00,cart,9.99,jewelery,"{'rate': 3, 'count': 400}"
924,8,2019-10-25 08:00:00,view,10.99,jewelery,"{'rate': 1.9, 'count': 100}"
3680,18,2019-10-07 04:00:00,view,9.85,women's clothing,"{'rate': 4.7, 'count': 130}"
411,5,2019-10-16 22:00:00,cart,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
267,3,2019-10-19 08:00:00,view,55.99,men's clothing,"{'rate': 4.7, 'count': 500}"
3272,18,2019-10-02 10:00:00,view,9.85,women's clothing,"{'rate': 4.7, 'count': 130}"
3000,8,2019-10-19 20:00:00,cart,10.99,jewelery,"{'rate': 1.9, 'count': 100}"
2737,12,2019-10-06 06:00:00,view,114.0,electronics,"{'rate': 4.8, 'count': 400}"
2411,1,2019-10-03 00:00:00,purchase,109.95,men's clothing,"{'rate': 3.9, 'count': 120}"
2372,19,2019-10-30 09:00:00,cart,7.95,women's clothing,"{'rate': 4.5, 'count': 146}"
1145,8,2019-10-30 22:00:00,purchase,10.99,jewelery,"{'rate': 1.9, 'count': 100}"
3276,19,2019-10-26 01:00:00,view,7.95,women's clothing,"{'rate': 4.5, 'count': 146}"
4768,20,2019-10-10 10:00:00,purchase,12.99,women's clothing,"{'rate': 3.6, 'count': 145}"
2235,15,2019-10-04 00:00:00,view,56.99,women's clothing,"{'rate': 2.6, 'count': 235}"
4851,9,2019-10-22 05:00:00,view,64.0,electronics,"{'rate': 3.3, 'count': 203}"
921,8,2019-10-14 15:00:00,view,10.99,jewelery,"{'rate': 1.9, 'count': 100}"
1752,2,2019-10-04 18:00:00,view,22.3,men's clothing,"{'rate': 4.1, 'count': 259}"
4180,7,2019-10-16 08:00:00,view,9.99,jewelery,"{'rate': 3, 'count': 400}"
4402,5,2019-10-02 01:00:00,view,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
4330,17,2019-10-29 04:00:00,view,39.99,women's clothing,"{'rate': 3.8, 'count': 679}"
1031,16,2019-10-09 00:00:00,view,29.95,women's clothing,"{'rate': 2.9, 'count': 340}"
4723,19,2019-10-21 12:00:00,cart,7.95,women's clothing,"{'rate': 4.5, 'count': 146}"
4614,19,2019-10-10 15:00:00,view,7.95,women's clothing,"{'rate': 4.5, 'count': 146}"
4307,9,2019-10-17 02:00:00,cart,64.0,electronics,"{'rate': 3.3, 'count': 203}"
1588,11,2019-10-17 22:00:00,view,109.0,electronics,"{'rate': 4.8, 'count': 319}"
2795,6,2019-10-06 17:00:00,purchase,168.0,jewelery,"{'rate': 3.9, 'count': 70}"
623,8,2019-10-31 01:00:00,view,10.99,jewelery,"{'rate': 1.9, 'count': 100}"
4773,18,2019-10-25 00:00:00,purchase,9.85,women's clothing,"{'rate': 4.7, 'count': 130}"
1879,7,2019-10-30 02:00:00,view,9.99,jewelery,"{'rate': 3, 'count': 400}"
4117,12,2019-10-28 17:00:00,purchase,114.0,electronics,"{'rate': 4.8, 'count': 400}"
1007,11,2019-10-19 12:00:00,view,109.0,electronics,"{'rate': 4.8, 'count': 319}"
3725,8,2019-10-29 13:00:00,cart,10.99,jewelery,"{'rate': 1.9, 'count': 100}"
4034,8,2019-10-03 17:00:00,cart,10.99,jewelery,"{'rate': 1.9, 'count': 100}"
2302,11,2019-10-07 01:00:00,view,109.0,electronics,"{'rate': 4.8, 'count': 319}"
2851,14,2019-10-02 09:00:00,view,999.99,electronics,"{'rate': 2.2, 'count': 140}"
2928,4,2019-10-11 02:00:00,cart,15.99,men's clothing,"{'rate': 2.1, 'count': 430}"
2146,10,2019-10-13 01:00:00,view,109.0,electronics,"{'rate': 2.9, 'count': 470}"
233,6,2019-10-09 09:00:00,view,168.0,jewelery,"{'rate': 3.9, 'count': 70}"
4554,17,2019-10-26 16:00:00,cart,39.99,women's clothing,"{'rate': 3.8, 'count': 679}"
101,12,2019-10-12 01:00:00,view,114.0,electronics,"{'rate': 4.8, 'count': 400}"
3565,19,2019-10-09 17:00:00,cart,7.95,women's clothing,"{'rate': 4.5, 'count': 146}"
738,16,2019-10-17 19:00:00,view,29.95,women's clothing,"{'rate': 2.9, 'count': 340}"
3610,6,2019-10-05 08:00:00,view,168.0,jewelery,"{'rate': 3.9, 'count': 70}"
4863,9,2019-10-25 20:00:00,view,64.0,electronics,"{'rate': 3.3, 'count': 203}"
2855,9,2019-10-03 07:00:00,cart,64.0,electronics,"{'rate': 3.3, 'count': 203}"
3653,20,2019-10-31 14:00:00,purchase,12.99,women's clothing,"{'rate': 3.6, 'count': 145}"
1862,6,2019-10-24 22:00:00,view,168.0,jewelery,"{'rate': 3.9, 'count': 70}"
3936,5,2019-10-07 03:00:00,view,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
4794,1,2019-10-01 04:00:00,view,109.95,men's clothing,"{'rate': 3.9, 'count': 120}"
3958,19,2019-10-26 06:00:00,cart,7.95,women's clothing,"{'rate': 4.5, 'count': 146}"
2689,13,2019-10-22 21:00:00,view,599.0,electronics,"{'rate': 2.9, 'count': 250}"
2223,2,2019-10-23 14:00:00,view,22.3,men's clothing,"{'rate': 4.1, 'count': 259}"
849,9,2019-10-24 21:00:00,view,64.0,electronics,"{'rate': 3.3, 'count': 203}"
2623,10,2019-10-03 07:00:00,view,109.0,electronics,"{'rate': 2.9, 'count': 470}"
914,14,2019-10-12 02:00:00,view,999.99,electronics,"{'rate': 2.2, 'count': 140}"
26,2,2019-10-04 14:00:00,view,22.3,men's clothing,"{'rate': 4.1, 'count': 259}"
114,7,2019-10-27 18:00:00,cart,9.99,jewelery,"{'rate': 3, 'count': 400}"
4443,2,2019-10-20 07:00:00,purchase,22.3,men's clothing,"{'rate': 4.1, 'count': 259}"
3495,15,2019-10-11 06:00:00,cart,56.99,women's clothing,"{'rate': 2.6, 'count': 235}"
4442,6,2019-10-02 23:00:00,view,168.0,jewelery,"{'rate': 3.9, 'count': 70}"
1029,14,2019-10-10 15:00:00,view,999.99,electronics,"{'rate': 2.2, 'count': 140}"
4110,6,2019-10-11 01:00:00,view,168.0,jewelery,"{'rate': 3.9, 'count': 70}"
1123,16,2019-10-23 14:00:00,cart,29.95,women's clothing,"{'rate': 2.9, 'count': 340}"
4352,4,2019-10-20 18:00:00,view,15.99,men's clothing,"{'rate': 2.1, 'count': 430}"
2677,5,2019-10-28 12:00:00,purchase,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
736,4,2019-10-15 15:00:00,view,15.99,men's clothing,"{'rate': 2.1, 'count': 430}"
4525,1,2019-10-04 16:00:00,cart,109.95,men's clothing,"{'rate': 3.9, 'count': 120}"
4548,13,2019-10-23 02:00:00,cart,599.0,electronics,"{'rate': 2.9, 'count': 250}"
534,15,2019-10-24 14:00:00,view,56.99,women's clothing,"{'rate': 2.6, 'count': 235}"
3853,7,2019-10-18 09:00:00,cart,9.99,jewelery,"{'rate': 3, 'count': 400}"
328,20,2019-10-24 21:00:00,purchase,12.99,women's clothing,"{'rate': 3.6, 'count': 145}"
1638,6,2019-10-16 07:00:00,purchase,168.0,jewelery,"{'rate': 3.9, 'count': 70}"
430,18,2019-10-17 04:00:00,cart,9.85,women's clothing,"{'rate': 4.7, 'count': 130}"
4297,20,2019-10-14 06:00:00,view,12.99,women's clothing,"{'rate': 3.6, 'count': 145}"
954,19,2019-10-01 18:00:00,cart,7.95,women's clothing,"{'rate': 4.5, 'count': 146}"
4508,13,2019-10-04 08:00:00,cart,599.0,electronics,"{'rate': 2.9, 'count': 250}"
4225,19,2019-10-01 23:00:00,view,7.95,women's clothing,"{'rate': 4.5, 'count': 146}"
2951,6,2019-10-20 17:00:00,view,168.0,jewelery,"{'rate': 3.9, 'count': 70}"
3473,14,2019-10-10 17:00:00,view,999.99,electronics,"{'rate': 2.2, 'count': 140}"
3532,5,2019-10-16 18:00:00,view,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
3383,19,2019-10-29 03:00:00,cart,7.95,women's clothing,"{'rate': 4.5, 'count': 146}"
1983,1,2019-10-08 17:00:00,view,109.95,men's clothing,"{'rate': 3.9, 'count': 120}"
2167,10,2019-10-13 17:00:00,view,109.0,electronics,"{'rate': 2.9, 'count': 470}"
1245,3,2019-10-24 10:00:00,view,55.99,men's clothing,"{'rate': 4.7, 'count': 500}"
1613,11,2019-10-08 02:00:00,view,109.0,electronics,"{'rate': 4.8, 'count': 319}"
4213,14,2019-10-03 09:00:00,view,999.99,electronics,"{'rate': 2.2, 'count': 140}"
3128,7,2019-10-09 23:00:00,view,9.99,jewelery,"{'rate': 3, 'count': 400}"
4221,1,2019-10-05 23:00:00,view,109.95,men's clothing,"{'rate': 3.9, 'count': 120}"
1909,9,2019-10-29 19:00:00,cart,64.0,electronics,"{'rate': 3.3, 'count': 203}"
4504,14,2019-10-26 01:00:00,view,999.99,electronics,"{'rate': 2.2, 'count': 140}"
1243,5,2019-10-20 15:00:00,view,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
3591,20,2019-10-28 00:00:00,view,12.99,women's clothing,"{'rate': 3.6, 'count': 145}"
4237,8,2019-10-25 21:00:00,view,10.99,jewelery,"{'rate': 1.9, 'count': 100}"
2695,16,2019-10-06 18:00:00,view,29.95,women's clothing,"{'rate': 2.9, 'count': 340}"
710,6,2019-10-28 16:00:00,view,168.0,jewelery,"{'rate': 3.9, 'count': 70}"
1558,18,2019-10-17 17:00:00,view,9.85,women's clothing,"{'rate': 4.7, 'count': 130}"
827,20,2019-10-26 00:00:00,view,12.99,women's clothing,"{'rate': 3.6, 'count': 145}"
2446,6,2019-10-28 18:00:00,view,168.0,jewelery,"{'rate': 3.9, 'count': 70}"
93,12,2019-10-10 20:00:00,cart,114.0,electronics,"{'rate': 4.8, 'count': 400}"
26,5,2019-10-04 09:00:00,view,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
3111,15,2019-10-08 01:00:00,cart,56.99,women's clothing,"{'rate': 2.6, 'count': 235}"
4261,5,2019-10-14 05:00:00,cart,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
4544,5,2019-10-26 08:00:00,cart,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
2930,3,2019-10-27 16:00:00,view,55.99,men's clothing,"{'rate': 4.7, 'count': 500}"
493,8,2019-10-01 05:00:00,cart,10.99,jewelery,"{'rate': 1.9, 'count': 100}"
