product_id,price,category,rating
1,109.95,men's clothing,"{'rate': 3.9, 'count': 120}"
2,22.3,men's clothing,"{'rate': 4.1, 'count': 259}"
3,55.99,men's clothing,"{'rate': 4.7, 'count': 500}"
4,15.99,men's clothing,"{'rate': 2.1, 'count': 430}"
5,695.0,jewelery,"{'rate': 4.6, 'count': 400}"
6,168.0,jewelery,"{'rate': 3.9, 'count': 70}"
7,9.99,jewelery,"{'rate': 3, 'count': 400}"
8,10.99,jewelery,"{'rate': 1.9, 'count': 100}"
9,64.0,electronics,"{'rate': 3.3, 'count': 203}"
10,109.0,electronics,"{'rate': 2.9, 'count': 470}"
11,109.0,electronics,"{'rate': 4.8, 'count': 319}"
12,114.0,electronics,"{'rate': 4.8, 'count': 400}"
13,599.0,electronics,"{'rate': 2.9, 'count': 250}"
14,999.99,electronics,"{'rate': 2.2, 'count': 140}"
15,56.99,women's clothing,"{'rate': 2.6, 'count': 235}"
16,29.95,women's clothing,"{'rate': 2.9, 'count': 340}"
17,39.99,women's clothing,"{'rate': 3.8, 'count': 679}"
18,9.85,women's clothing,"{'rate': 4.7, 'count': 130}"
19,7.95,women's clothing,"{'rate': 4.5, 'count': 146}"
20,12.99,women's clothing,"{'rate': 3.6, 'count': 145}"
